sample_num,"Permeability, nD","Porosity, fraction",r100,r99,r98,r97,r96,r95,r94,r93,r92,r91,r90,r89,r88,r87,r86,r85,r84,r83,r82,r81,r80,r79,r78,r77,r76,r75,r74,r73,r72,r71,r70,r69,r68,r67,r66,r65,r64,r63,r62,r61,r60,r59,r58,r57,r56,r55,r54,r53,r52,r51,r50,r49,r48,r47,r46,r45,r44,r43,r42,r41,r40,r39,r38,r37,r36,r35,r34,r33,r32,r31,r30,r29,r28,r27,r26,r25,r24,r23,r22,r21,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
21,2000,0.0121,1.991526903,2.011461275,2.031395648,2.05133002,2.071264392,2.091198765,2.1145672,2.148437869,2.182308538,2.210465052,2.229591792,2.248718531,2.271607601,2.297850421,2.324093241,2.357885901,2.395399552,2.432913204,2.486773674,2.54444358,2.602113485,2.640906891,2.67875173,2.717382169,2.76488528,2.81238839,2.862196372,2.920647622,2.979098873,3.035565376,3.088174203,3.14078303,3.194597332,3.249844317,3.305091303,3.367812045,3.436075822,3.504339599,3.579178704,3.656791075,3.734403447,3.811111754,3.887638208,3.964164663,4.022762182,4.080411319,4.140202229,4.224980487,4.309758745,4.388729611,4.445605683,4.502481755,4.57504295,4.68012771,4.78521247,4.9923115,5.232172681,5.360442388,5.515182965,5.687014971,5.854610888,6.02082167,6.363543351,6.516804694,6.669236591,6.840081761,7.010926931,7.333736209,7.656620776,7.770330585,7.884040395,8.009958218,8.140509445,8.271060673,8.454898261,8.642270149,8.841319885,9.100476194,9.354129296,9.594734474,9.835339651,10.05219051,10.24724841,10.44230631,10.66776876,10.90291846,11.24033883,11.59165468,11.94239816,12.2882765,12.62474841,12.92923845,13.43047981,14.11746698,14.58538405,15.29214456,16.20396373,16.88513713,17.48064871,19.8065457
7,2710,0.0942,1.779016953,1.807992688,1.836968423,1.865944158,1.894919893,1.934492571,1.984238316,2.03398406,2.083729805,2.130844092,2.16886789,2.206891688,2.244915487,2.2839842,2.329322406,2.374660611,2.419998817,2.476459335,2.545492903,2.61452647,2.67931979,2.727576139,2.775832489,2.824088839,2.872345189,2.916857006,2.928416933,2.93997686,2.951536788,2.963096715,3.008478506,3.07528081,3.142083114,3.208885418,3.275687722,3.342490026,3.409292331,3.495617327,3.584666419,3.673715512,3.762764605,3.827885352,3.876503793,3.925122233,3.973740673,4.022359114,4.070977554,4.148950477,4.231019374,4.31308827,4.395157167,4.477226064,4.559294961,4.662426624,4.80520585,4.947985076,5.090764301,5.233543527,5.354318035,5.448086753,5.541855472,5.63562419,5.729392909,5.823161628,5.932306924,6.151651026,6.370995128,6.59033923,6.814846084,7.160677593,7.506509101,7.85234061,8.198172118,8.544003627,8.843602689,9.102303818,9.361004947,9.619706076,9.878407205,10.27449348,10.85375995,11.43302642,12.01229289,12.5753463,13.10788102,13.64041574,14.17295046,14.70548518,15.69656767,16.76407479,17.8315819,20.24763691,23.59372494,26.78472032,29.84934389,32.91396747,39.07944732,48.47498578,58.3282097,68.42457902
15,226,0.034,1.6007,1.600732334,1.600764669,1.611498958,1.722188403,1.811928478,1.994541152,2.192236278,2.283478302,2.433915844,2.605725253,2.760155447,2.900405102,3.025204971,3.151854423,3.284415661,3.419453355,3.556403495,3.682700022,3.749398572,3.816097122,3.887868158,3.975130019,4.062391879,4.152355301,4.267900008,4.383444714,4.49898942,4.604378588,4.670579042,4.736779495,4.802979949,4.869180403,4.947233709,5.055446629,5.16365955,5.27187247,5.380085391,5.488298311,5.551960282,5.611500271,5.67104026,5.730580249,5.790120239,5.849660228,5.933707001,6.064863217,6.196019433,6.327175649,6.458331865,6.589488081,6.720644297,6.851800514,6.935944678,7.01232093,7.088697182,7.165073434,7.241449686,7.317825938,7.39420219,7.470578442,7.555575153,7.642305133,7.729035112,7.815765091,7.902495071,7.98922505,8.07595503,8.1627247,8.259531208,8.356337715,8.453144222,8.54995073,8.646757237,8.743563745,8.840370252,8.937176759,9.033983267,9.130789774,9.227596282,9.365041334,9.521657178,9.678273021,9.834888865,9.991504709,10.15218333,10.31868123,10.48517912,10.65167701,10.8181749,11.10552577,11.47828617,11.85104658,12.22380698,13.06908787,13.96699977,14.57509039,15.70065367,24.2157717,422.1433943
9,56,0.018,1.7135,1.726021283,1.85988445,1.99310637,2.176814008,2.495872517,2.658868046,2.822412561,2.98941417,3.15310682,3.313836703,3.474566586,3.668638505,3.866054046,4.063469587,4.232252637,4.381701057,4.531149477,4.680597897,4.830046317,4.933676562,4.964150455,4.994624348,5.025098241,5.055572134,5.086046027,5.11651992,5.146993814,5.177467707,5.215675969,5.255404968,5.295133966,5.334862965,5.374591963,5.414320962,5.454049961,5.493778959,5.533507958,5.588276649,5.654512254,5.72074786,5.786983465,5.85321907,5.919454676,5.985690281,6.051925886,6.118161492,6.184397097,6.304214776,6.446067111,6.587919446,6.729771782,6.871624117,7.013476453,7.155328788,7.297181123,7.439033459,7.580885794,7.670105429,7.74385,7.817594571,7.891339143,7.965083714,8.038828285,8.112572857,8.186317428,8.2602024,8.334318986,8.408435572,8.482552158,8.556668744,8.630785329,8.704901915,8.779018501,8.853135087,8.927251673,9.001368258,9.075484844,9.195534481,9.340929646,9.486324812,9.631719977,9.777115142,9.93392106,10.23526318,10.53660531,10.83794743,11.13928956,11.47510844,11.90313641,12.33116437,12.90020874,14.17980088,17.13755829,21.98654928,28.09828723,40.21757245,82.23002013,269.7782482,2189.543468
29,7200,0.0507,2.09734291,2.171746015,2.295380352,2.533261707,2.827103591,3.098451444,3.385901462,3.731595341,4.127783897,4.358807032,4.529983321,4.64322377,4.75646422,4.882882792,5.014100105,5.203090985,5.417005662,5.619327591,5.695612693,5.771897794,5.848182896,5.937319096,6.034953167,6.132587239,6.234516884,6.344223458,6.453930032,6.556581637,6.601962307,6.647342976,6.692723645,6.738104314,6.783484984,6.828865653,6.874246322,6.919626991,6.965007661,7.052105768,7.19354553,7.334985292,7.462527955,7.540703016,7.618878077,7.696907402,7.746181206,7.79545501,7.844728814,7.894002617,7.943276421,7.992550225,8.086076555,8.212204911,8.338333266,8.464461621,8.572194719,8.64252178,8.712848841,8.783175902,8.853502963,8.923830024,8.994157085,9.064484146,9.121012684,9.175742057,9.23047143,9.285200802,9.339930175,9.394659547,9.44938892,9.504118292,9.560066303,9.61985685,9.679647398,9.739437945,9.799228492,9.85901904,9.918809587,9.978600134,10.1496107,10.34916406,10.54871743,10.65906515,10.69631949,10.73357383,10.77082817,10.80808251,10.84533684,10.88259118,10.91984552,10.95709986,10.9943542,11.03160854,11.06886287,11.10611721,11.14337155,11.25465826,11.4015275,11.54839674,11.69526597,11.84213521
20,6100,0.027,1.989566125,2.095783764,2.185751869,2.292461324,2.395987289,2.497498316,2.612424334,2.744962765,2.829388955,2.994679187,3.139268525,3.275909973,3.413240498,3.567764395,3.752874723,3.896313215,4.074780769,4.288124635,4.499210762,4.705673431,4.9182927,5.134135336,5.344718003,5.51842289,5.663720231,5.799803199,5.919147484,6.036548837,6.143915438,6.25128204,6.360402931,6.484304653,6.608206374,6.732108096,6.818460205,6.880331056,6.942201906,7.009323284,7.121309907,7.23329653,7.345283152,7.457269775,7.564777936,7.660172545,7.755567153,7.850961762,7.939650244,8.013535398,8.087420551,8.161305705,8.235190858,8.32460745,8.43195162,8.53929579,8.646639961,8.753984131,8.864885689,8.98907422,9.113262751,9.237451281,9.361639812,9.472658905,9.560659886,9.648660867,9.736661848,9.824690981,9.94484025,10.06498952,10.18513879,10.30528805,10.42307181,10.53008449,10.63709717,10.74410985,10.85112253,10.98220759,11.15384237,11.32547715,11.49711194,11.66880251,11.84198535,12.01516818,12.18835102,12.36181342,12.54027362,12.71873382,12.89719402,13.07565422,13.27191963,13.47665628,13.68139293,13.90210366,14.18473108,14.46735849,14.75726575,15.1134246,15.46958345,15.87276059,16.32746247,16.87420912
56,38,0.026,2.069932139,2.144399898,2.218867656,2.293335415,2.392621906,2.492119377,2.591616847,2.683389772,2.759633067,2.835876363,2.912119658,2.988362954,3.062592107,3.136639824,3.210687541,3.284735258,3.358797453,3.433817758,3.508838063,3.583858368,3.658878673,3.737448472,3.843715886,3.9499833,4.056250714,4.162518128,4.268785542,4.373641648,4.477461286,4.581280924,4.685100562,4.7889202,4.892739838,4.984552532,5.072948403,5.161344274,5.249740145,5.338136015,5.426531886,5.515055001,5.604888572,5.694722142,5.784555712,5.874389283,5.964222853,6.054056423,6.227120749,6.425282623,6.623444496,6.821606369,7.019768243,7.217930116,7.356920569,7.493790155,7.630659741,7.767529326,7.904398912,8.100702499,8.322835092,8.544967685,8.767100278,8.992613698,9.27446165,9.556309602,9.838157555,10.12000551,10.40061917,10.66612808,10.93163699,11.19714589,11.4626548,11.7681066,12.10440884,12.44071109,12.77701334,13.11920109,13.49936745,13.87953381,14.25970017,14.64411112,15.23139563,15.81868014,16.40596465,16.98815209,17.49139169,17.99463129,18.49787089,19.01861149,19.58836307,20.15811465,20.72786623,21.41391964,22.20813116,23.00234268,23.95980769,25.09218762,26.22456755,27.70688246,29.33330709,31.38228446
0,126,0.101,1.910730594,2.126297998,2.316382939,2.505780471,2.698328113,2.889268559,3.077401327,3.238108409,3.397389125,3.547728234,3.699281986,3.901368131,4.103454277,4.277694457,4.439442469,4.601190481,4.767803235,4.93536732,5.102931404,5.273776935,5.447372387,5.62096784,5.794563293,5.945339548,6.087715809,6.230092069,6.372468329,6.508733749,6.616698539,6.724663329,6.832628119,6.940592909,7.048557699,7.20834425,7.369941314,7.531538378,7.693135443,7.854732507,8.016329571,8.140579969,8.242930988,8.345282007,8.447633027,8.549984046,8.652335066,8.754686085,8.861529069,9.002827016,9.144124964,9.285422911,9.426720858,9.568018806,9.709316753,9.850614701,9.991912648,10.13279678,10.22990815,10.32701951,10.42413088,10.52124225,10.61835362,10.71546499,10.81257635,10.90968772,11.00679909,11.10391046,11.20996341,11.32971231,11.44946122,11.56921012,11.68895902,11.80870793,11.92845683,12.04820573,12.16795463,12.28770354,12.4340019,12.64154375,12.8490856,13.05662745,13.2641693,13.47171115,13.679253,13.88679486,14.15647611,14.43761121,14.71874631,14.99988141,15.28101651,15.86395563,16.49754346,17.1311313,17.78629019,18.45599332,19.41851505,20.85570522,22.86988375,25.04385257,27.33160768,33.53742415
13,54,0.057,1.882809483,2.841183063,3.625740064,3.94549134,4.329841751,4.628381262,4.785493671,4.966896288,5.157162377,5.417607663,5.708488755,5.984770423,6.210166133,6.435561844,6.660957554,6.886353264,7.068260404,7.12018326,7.172106115,7.22402897,7.275951826,7.327874681,7.379797537,7.431720392,7.483643247,7.535566103,7.593267055,7.656952854,7.720638653,7.784324451,7.84801025,7.911696049,7.975381848,8.039067647,8.102753445,8.166439244,8.230125043,8.293810842,8.345291557,8.378150965,8.411010374,8.443869782,8.47672919,8.509588598,8.542448007,8.575307415,8.608166823,8.641026231,8.673885639,8.706745048,8.739604456,8.772463864,8.805323272,8.838182681,8.871042089,8.903901497,8.936760905,8.970005828,9.027379401,9.084752974,9.142126547,9.199500121,9.256873694,9.314247267,9.37162084,9.428994413,9.486367987,9.54374156,9.601115133,9.694989007,9.79033835,9.885687692,9.981037035,10.07638638,10.17173572,10.26708506,10.36243441,10.45778375,10.55313309,10.69319475,11.06632576,11.43945678,11.81258779,12.18571881,12.55884982,12.93198084,13.30511185,13.67824287,14.18170085,15.10890168,17.02798001,24.83649439,530.0738242,4954.257366,8835.429597,9110.461379,9385.49316,9660.524942,14879.81109,16405.02637
10,122,0.024,1.6725,1.672720746,1.672941492,1.673162239,1.691160654,1.735612086,1.780063518,1.816882692,1.841709548,1.866536403,1.926337058,1.968966153,2.011595248,2.059976284,2.116746343,2.173516402,2.219304618,2.256274344,2.292348764,2.327444266,2.376712355,2.474728618,2.570923559,2.644713408,2.718503257,2.81251086,2.917567019,2.994023517,3.071022715,3.174761926,3.292758871,3.470910394,3.637719443,3.763614573,3.910018801,4.08176766,4.211111425,4.318887726,4.571430397,4.813333017,4.980419018,5.147968937,5.316266942,5.526328496,5.774141229,5.920873577,6.0649974,6.413616363,6.79315579,7.065335664,7.335532432,7.50816705,7.677098839,7.919881009,8.197140421,8.456706884,8.707867763,8.959028642,9.208347603,9.446196438,9.684045274,9.94802746,10.22052313,10.49085497,10.75368759,11.01652021,11.4398985,11.91212653,12.38435949,12.85869077,13.33302204,13.80735332,14.01634263,14.20105976,14.38577689,14.57049402,14.78054262,14.99106299,15.20158335,15.42491375,15.67668813,15.9284625,16.18023687,16.46400325,17.09884131,17.7561798,19.38537683,24.25408945,31.39803208,40.825733,54.88328746,77.57300286,122.5344158,182.2032792,349.1604765,512.2003011,758.8695337,1099.774188,1201.542903,2162.058821
11,159,0.092,3.64029488,3.826590007,4.085664775,4.593725718,5.306863687,5.589669521,5.808852555,6.028035589,6.116976681,6.403414924,6.689853167,6.860706879,7.003811243,7.146915608,7.304977223,7.653825081,8.002672939,8.087988022,8.156229462,8.224470902,8.292712342,8.360953782,8.429195223,8.497436663,8.565678103,8.633919543,8.923490232,9.251557428,9.579624623,9.86999653,9.985576475,10.10115642,10.21673637,10.33231631,10.44789626,10.5634762,10.67905615,10.79463609,10.86879731,10.92541731,10.9820373,11.0386573,11.09527729,11.15189729,11.20851729,11.26513728,11.32175728,11.37837727,11.478909,11.59947642,11.72004383,11.84061124,11.96117865,12.08174606,12.20231348,12.32288089,12.4434483,12.54986261,12.61672462,12.68358662,12.75044863,12.81731064,12.88417265,12.95103465,13.01789666,13.08475867,13.15162068,13.21848269,13.28534469,13.46412237,13.66657968,13.86903698,14.07149428,14.27395159,14.47640889,14.67886619,14.8813235,15.0837808,15.2862381,15.54931272,15.83256118,16.11580965,16.39905811,16.84485106,17.51151062,18.17817018,18.84482973,20.35906575,22.98526932,25.09411436,26.78810807,29.34578868,31.27412484,39.84149326,58.39582054,72.05381623,80.53264562,89.3622953,103.4967053,117.6311153
