Depth (ft),Porosity (%),Matrix Perm (nd),Acoustic impedance (kg/m2s*10^6),Brittleness Ratio,TOC (%),Vitrinite Reflectance (%)
11016.69679,17.68799311,367,3.872,50.688,4.56,1.808
7661.931748,18.91731683,367,2.244,79.524,3.48,1.312
10686.70853,17.41995013,593,3.278,57.144,3.88,1.496
11454.66255,16.76053221,390,3.146,55.548,4.04,1.592
7397.679527,20.34330701,378,4.686,74.268,0.15,1.576
11597.01016,16.93470673,256,3.476,35.544,3.32,1.568
6359.113097,18.7186424,593,2.816,53.064,8.28,1.872
11991.57648,17.090929,435,2.629,31.596,2.64,0.92
8966.873422,20.43094916,167,3.102,76.632,1.2,1.28
12192.16382,16.70678032,346,3.586,29.712,0.32,1.104
6553.31521,20.71809237,510,3.201,59.04,4,1.52
12081.2035,13.59185178,439,3.597,54.576,4.96,1.8
11380.24429,18.38263009,575,2.827,53.688,6.36,1.568
7717.563165,17.30183167,921,2.695,40.608,6.12,1.472
5809.094098,23.56953339,335,3.036,66.24,3.2,1.576
10400.01354,15.57419063,275,5.093,72.372,3.04,2.296
5266.175375,21.72567981,710,2.332,49.86,7.88,1.576
6155.795892,21.91378013,353,3.025,66.048,3.04,1.392
9458.658586,16.13919161,313,3.179,34.428,2.48,1.384
8689.045949,17.92563315,410,3.421,,3.12,1.448
10093.7247,15.98283872,325,2.376,,4.36,1.032
10106.13777,19.17799968,466,3.41,,0.8,1.368
11491.57252,17.83525225,570,3.41,,5.2,1.984
10141.21387,15.43013618,216,2.475,41.58,4.28,1.336
8368.987901,17.03513585,570,3.674,61.272,4.48,1.824
6036.696094,23.63418085,542,3.344,47.268,4.28,1.736
5758.612913,21.64318274,466,2.992,71.184,6.68,1.88
9253.94853,15.79125562,703,4.51,53.448,0.16,1.576
9036.782031,19.81908045,329,2.959,34.44,4.88,1.464
8206.674769,19.65306718,329,3.465,55.296,5.12,1.656
6011.538884,23.63378161,397,3.773,58.56,4.16,1.688
11910.48517,17.24127523,349,3.949,69.636,1.88,1.624
5460.724816,23.504932,239,3.839,76.548,0.64,1.544
10004.53365,18.58703635,394,3.212,71.16,3.64,1.528
8022.983514,21.4225568,500,3.993,53.916,2.88,1.64
7003.231012,21.71915603,462,2.541,37.692,4.4,1.232
11763.37151,16.52435064,581,3.256,70.992,1.92,1.392
11136.95842,14.13988221,746,3.168,64.068,5.68,1.712
9320.200728,20.17402355,636,2.486,58.608,5.88,1.52
5480.8663,23.74655632,162,4.147,62.772,1.84,1.896
8758.043733,20.73767414,453,2.541,81.012,3.2,1.336
9483.405216,19.4418449,390,2.717,69.036,4.6,1.608
5907.24667,19.55333643,275,3.157,65.82,4.68,1.76
5391.661963,20.17844302,401,3.344,49.68,4.88,1.608
7021.818279,19.64077106,339,3.729,68.04,1.52,1.504
10792.76991,18.53962774,386,3.861,83.436,2.4,1.632
9872.485242,16.03536704,172,3.267,48.612,,1.408
6706.096608,23.20320092,251,3.575,69.96,,1.864
9984.826028,17.14173853,382,4.191,44.556,,1.944
11790.16959,15.97142877,481,3.63,75.972,3.8,1.624
6226.440475,19.08860295,188,3.399,70.764,2.08,1.48
10714.60508,18.70123299,266,4.334,44.016,4.68,2.08
11960.64161,16.35375141,401,3.751,48.288,3.36,1.744
7280.016253,22.07668581,188,2.794,50.688,1.52,1.024
9019.409857,17.17828204,833,2.75,28.536,5.88,1.456
6754.737593,18.62128571,266,3.839,101.196,1.56,1.576
5293.150698,20.27951761,360,3.102,84.816,3.8,1.632
10402.5405,19.38610587,426,3.157,59.292,3.68,1.608
7750.319858,20.2081743,414,2.53,73.716,5.88,1.64
10953.78232,16.74568799,785,2.893,59.892,6.36,1.688
9724.015382,17.51420611,448,2.497,56.856,3.36,1.256
8237.616594,21.50441814,542,2.904,77.388,6.2,1.68
8462.144793,16.6051453,292,2.574,82.512,3.92,1.576
8134.318723,20.04188042,466,3.344,62.676,3.44,1.376
10088.38547,15.458804,322,4.059,73.308,1.8,1.736
8109.87606,17.15349424,457,2.915,22.356,4.24,1.232
8251.00914,19.76110186,422,2.046,40.956,7,1.296
12473.98891,17.16874289,371,3.619,67.188,5.4,1.936
10999.02791,14.92571622,261,3.223,66.36,2,1.36
5764.374444,21.92529363,382,2.585,45.696,5.72,1.576
8131.671008,17.76841443,630,2.783,48.684,8.32,1.944
8165.994467,16.98226912,505,3.421,69.564,4.6,1.728
8084.481663,19.01752795,329,2.959,90.876,2.32,1.44
5591.510968,21.45034625,510,4.367,75.888,1.52,1.544
6396.076358,20.6157907,431,3.135,53.436,5.56,1.648
7984.793102,19.51978331,682,3.047,54.528,5.32,1.664
8222.381412,17.32816443,593,3.553,44.88,3.28,1.44
10179.90729,18.94200342,495,2.695,50.712,5.6,1.648
6613.417523,20.69530825,481,4.499,79.452,3.24,2.216
5225.416103,20.14431169,349,3.52,51.156,6.08,1.784
6510.754819,19.20354989,239,3.322,48.804,4.08,1.472
9157.393628,19.25721436,558,3.52,59.532,4.92,1.896
10614.5939,15.7862411,422,3.311,75.888,1.92,1.656
8653.869739,20.00200431,248,2.893,40.176,4.68,1.384
5085.189264,24.19124659,978,2.959,55.68,4.44,1.336
10442.34081,16.45907617,386,3.806,62.832,2,1.512
10881.94258,17.4798903,825,1.408,17.088,8.72,0.992
11458.07762,17.16952019,390,2.904,72.6,5.32,1.56
6580.505341,22.22964815,599,2.882,42.6,4.52,1.376
11169.67061,16.70667788,294,3.014,61.788,6.48,1.72
8682.152025,20.15569834,526,3.575,72.612,3.72,1.584
8617.512666,20.08857418,481,3.069,24.144,6.08,1.544
6354.397951,20.67792041,306,2.321,60.78,4.68,1.368
11763.07505,16.85401761,444,2.53,53.484,5.84,1.584
6026.589684,21.79262688,172,3.663,75.528,1.24,1.512
10374.925,15.84993495,448,3.927,42.888,3.72,1.84
8601.683111,18.74304928,269,4.037,20.64,2.44,1.608
6356.611883,21.81156795,466,3.377,31.956,6.12,1.64
8511.691422,16.76421935,516,3.817,61.548,1.52,1.416
9959.733871,18.80787015,363,2.629,75.516,4.16,1.544
7666.616661,19.36872163,148,3.08,48.288,1.48,1.144
8811.930565,19.42137223,682,3.52,39.384,2.32,1.312
10648.89383,19.11090598,516,1.595,69.66,5.48,1.24
12080.30267,15.126569,466,3.135,48.996,3.36,1.36
7050.108666,20.37968271,800,2.86,67.548,6.56,1.744
9050.782513,17.09305961,236,3.531,50.832,2,1.416
8836.238268,19.32924529,453,3.091,78.384,4.64,1.544
12377.95141,14.39039046,505,3.784,43.464,5.92,2.016
10642.65398,14.39379897,272,3.619,50.556,1.72,1.576
8595.022511,21.23518996,510,3.476,72.516,6.4,2.08
9384.399743,19.51720009,457,3.344,67.908,0.4,1.224
5599.782611,19.90708894,710,3.322,25.764,5.04,1.432
7562.700151,22.10930965,292,3.696,34.644,3.28,1.352
7599.715364,19.15277713,256,3.421,65.448,1.8,1.456
5077.364319,20.40587475,617,2.75,52.02,6.64,1.496
6943.760156,20.56698538,662,2.695,78.984,2.52,1.2
11525.93284,17.63554161,406,3.08,22.776,6,1.544
8664.581265,19.58454031,360,2.618,60.492,1.92,1.24
5906.378665,20.40246075,537,2.53,69.408,5.32,1.536
7162.199611,20.95838966,319,2.893,63.06,5.64,1.672
11756.15844,15.44902651,319,2.695,69.432,4.2,1.392
7233.746844,22.20011626,958,3.674,67.308,4.08,1.72
8401.694856,19.91102896,401,3.047,71.796,4.84,1.856
11538.07544,17.61383846,558,1.881,34.152,6.96,1.192
11105.98566,15.05309237,696,2.75,31.464,1.12,0.744
10569.71156,18.67012168,173,2.398,64.248,2.4,1.2
5815.29411,22.96293068,426,3.234,30.204,3.6,1.488
5919.40608,21.46525836,349,2.013,72.156,6.16,1.488
9583.073629,17.12395354,949,3.52,66.636,na,na
5533.187514,20.36464627,356,3.465,35.844,na,na
6637.166049,21.86241833,581,2.387,35.136,6.32,1.56
11834.11953,14.47251927,188,4.411,52.836,0.16,1.472
5333.640487,24.66382597,542,4.213,34.728,1.52,1.424
6454.960396,20.05107495,570,3.784,68.796,5.32,1.904
8177.938706,18.07121558,223,4.037,56.472,0.48,1.544
9061.936859,20.82603505,264,3.168,45.948,5,1.552
10933.76511,14.57456494,378,2.761,42.108,5.68,1.56
12159.79253,13.80831924,448,3.311,75.108,4.16,1.728
11428.3279,14.89519073,485,3.3,27.048,4.32,1.592
6651.924776,22.46030516,292,4.004,42.42,1.4,1.408
7180.920598,21.9023807,500,3.102,70.272,4.92,1.576
7919.108026,20.1817489,142,3.96,75.708,0.12,1.336
9763.495806,17.92080254,300,3.751,56.232,0.56,1.544
10867.3077,16.00518861,382,3.916,56.928,2.68,1.688
9030.927847,20.79688662,272,4.004,66.228,2.08,1.728
8151.537401,20.19480625,605,3.553,88.884,6.64,2.032
11502.53479,15.69104302,378,3.179,34.404,6.08,1.68
11623.26862,18.1075795,537,4.147,69.42,2.88,1.88
9670.421535,18.38654913,349,2.519,41.736,5.12,1.288
6073.23417,21.29544612,332,4.499,66.108,3.24,1.92
11830.01658,16.7303687,505,3.476,45.636,3.88,1.64
10432.07012,19.44517984,410,2.662,43.008,5.92,1.472
9161.486651,20.19895844,386,3.795,37.884,6.04,1.776
11037.65629,14.22059913,113,4.543,68.028,1.12,1.68
8223.924433,20.88986688,669,2.607,45.312,5.6,1.592
11134.88745,18.25496754,390,4.048,85.68,0.44,1.528
6408.588037,20.18304394,599,3.168,61.74,7.08,1.824
6159.116864,22.81176526,313,3.267,80.616,3.2,1.648
7536.815715,19.77575424,987,3.718,53.184,3.92,1.664
11291.19751,15.77314887,227,3.872,68.484,0.21,1.384
5250.506923,20.10895373,448,2.728,69.9,7.56,1.88
12040.05806,16.6860693,754,3.553,55.404,6.84,1.816
