image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
130.JPG,70.9,2.2,0.549986,4782,30.336386223284133,18686055.93309591
124.JPG,83.0,2.36,0.549676,2676,22.69353300209437,30153425.046304267
31.JPG,77.2,2.51,0.299814,2425,21.60304301701377,16559655.681204822
25.JPG,73.6,2.36,0.299713,5231,31.728637212729094,9365077.118921606
19.JPG,79.3,2.92,0.24992799999999998,4728,30.164615433365796,7861644.339027662
42.JPG,71.2,2.17,0.299928,3537,26.090150773319973,12891761.373592203
4.JPG,52.8,1.93,0.14991,2497,21.921402191819265,7639526.042741565
56.JPG,61.4,2.19,0.349588,3227,24.920602712581157,14879242.853730297
81.JPG,64.4,1.97,0.449758,3830,27.149288087635416,18178207.174692024
95.JPG,73.7,2.62,0.44977100000000003,4041,27.887108358494718,16198295.66762211
143.JPG,75.2,2.22,0.55112,3983,27.68625484593561,22018224.04613387
142.JPG,60.4,2.28,0.433392,3151,24.62539812345857,18253957.93479021
94.JPG,75.0,2.35,0.44953,4381,29.03659489517639,16230685.124350727
80.JPG,68.5,2.55,0.449406,3710,26.720588183979732,16863396.10317225
5.JPG,71.1,2.4,0.149953,2836,23.362115796175786,7227965.650269672
57.JPG,72.1,2.17,0.349313,4120,28.158380096999295,13475379.771008598
43.JPG,84.7,2.43,0.299663,2849,23.415599621628626,15613985.2954279
55.JPG,75.9,2.38,0.349335,4136,28.213003582085406,13164383.434495468
7.JPG,43.9,0.91,0.199732,1559,17.321365127751204,19243587.54473647
41.JPG,70.5,2.41,0.299439,5970,33.8958262281266,8206822.94815673
69.JPG,71.9,2.16,0.399764,4629,29.84713496065564,14144489.498192523
96.JPG,66.1,2.29,0.449064,3935,27.51892263674323,16712602.663376506
82.JPG,80.9,2.27,0.44964,3241,24.974601915036118,21506929.40845931
140.JPG,67.7,2.29,0.35784,3968,27.63407237538733,13393625.217829047
141.JPG,60.3,2.37,0.286738,2968,23.899620631262533,12378933.32828994
83.JPG,66.1,2.38,0.449214,3929,27.497934514226333,16417817.509045403
97.JPG,77.9,2.47,0.44987299999999997,5356,32.10549299719928,13888046.643672077
68.JPG,58.9,1.99,0.399441,3616,26.379907590119206,16038872.858020164
40.JPG,65.3,2.17,0.29988099999999995,3763,26.910772706362792,11783828.736214796
54.JPG,72.5,1.93,0.349454,3629,26.42728468136137,15765274.979204813
6.JPG,59.9,3.28,0.199856,5449,32.3830285634017,4634655.798597426
78.JPG,66.9,2.7,0.449161,3309,25.235240179482286,17636891.90076183
2.JPG,76.5,2.12,0.149694,2364,21.329604124817347,9128364.806291426
50.JPG,67.6,2.28,0.34966,3029,24.14397071303293,16048662.139253462
44.JPG,64.5,1.96,0.34972000000000003,3789,27.00358105856513,14296846.322844546
145.JPG,73.5,2.3,0.599189,3455,25.785946948225867,25868363.574239515
93.JPG,72.9,2.31,0.449483,3896,27.382212284393564,17622529.467506986
87.JPG,72.6,2.36,0.449356,3942,27.54338856631784,17241569.631459247
86.JPG,71.9,2.09,0.449601,3581,26.2519289067048,19605446.678741608
92.JPG,75.9,2.15,0.449149,5116,31.377932676612744,15182930.52584175
144.JPG,75.0,2.01,0.599682,3929,27.497934514226333,25404082.019263618
150.JPG,77.4,2.35,0.599587,3470,25.841861607915693,26194074.76383868
45.JPG,78.0,2.21,0.34963099999999997,3042,24.195726336654587,17452317.333907474
3.JPG,78.9,2.81,0.149817,4024,27.828387683676862,5407722.164213743
51.JPG,64.7,2.35,0.34961200000000003,3872,27.297742533661587,12862175.76753183
79.JPG,75.5,2.58,0.449733,2766,23.071994889754006,21952837.28806652
47.JPG,60.7,1.28,0.349966,3815,27.09607152927291,17086602.62031284
53.JPG,76.2,2.13,0.349591,4490,29.39559325625424,13119720.506462494
1.JPG,62.7,2.07,0.099913,2671,22.672322105785653,5093620.59192673
146.JPG,66.1,2.17,0.5994539999999999,5311,31.970336666281256,18302310.15763682
84.JPG,62.6,2.15,0.37520600000000004,3952,27.578302243112557,13979332.055105424
90.JPG,63.5,2.22,0.44909,3719,26.75297896880656,17357434.61025156
91.JPG,70.2,2.39,0.449474,3189,24.773440135527647,19755803.71626273
85.JPG,69.2,2.69,0.44990199999999997,4163,28.304941680658356,15153098.085320791
147.JPG,62.3,2.34,0.598946,4378,29.026651423086918,19761884.519705072
52.JPG,59.7,2.22,0.34930500000000003,4201,28.433832435238234,11947096.757352682
